symbol,window,from,to,pf,trades,dd_pct,balance,log_summary
EURJPY,2022,2022.01.01,2022.12.31,1.5,15,0.75,10078.08,2 expired
EURJPY,2023,2023.01.01,2023.12.31,0.82,21,2.48,9928.22,clean
EURJPY,2024,2024.01.01,2024.12.31,0.94,15,0.72,9984.76,1 expired
EURJPY,2025,2025.01.01,2025.12.31,1.78,18,1.53,10265.35,1 expired
EURJPY,OOS 2026,2026.01.01,2026.03.23,2.82,5,0.31,10060.67,clean
USDX,2022,2022.01.01,2022.12.31,0.34,5,1.0,9934.04,19 cancelled | 2 expired
USDX,2023,2023.01.01,2023.12.31,0.71,7,1.97,9914.72,23 cancelled | 3 expired
USDX,2024,2024.01.01,2024.12.31,542.03,12,0.0,10470.7,9 cancelled
USDX,2025,2025.01.01,2025.12.31,0.0,5,0.0,10000.0,27 cancelled | 1 expired
USDX,OOS 2026,2026.01.01,2026.03.23,0.0,2,0.95,9905.19,clean
USDJPY,2022,2022.01.01,2022.12.31,2.49,7,0.99,10258.42,2 expired
USDJPY,2023,2023.01.01,2023.12.31,1.22,15,1.66,10099.15,3 expired
USDJPY,2024,2024.01.01,2024.12.31,1.31,8,1.64,10090.29,2 expired
USDJPY,2025,2025.01.01,2025.12.31,2.01,6,0.64,10172.47,clean
USDJPY,OOS 2026,2026.01.01,2026.03.23,2.6,3,0.6,10095.51,clean
GBPUSD,2022,2022.01.01,2022.12.31,1.52,26,1.57,10268.41,2 expired
GBPUSD,2023,2023.01.01,2023.12.31,1.53,27,1.0,10193.05,2 expired
GBPUSD,2024,2024.01.01,2024.12.31,1.32,8,1.95,10109.86,2 expired
GBPUSD,2025,2025.01.01,2025.12.31,0.59,11,2.92,9765.59,clean
GBPUSD,OOS 2026,2026.01.01,2026.03.23,14.53,0,0.04,10072.36,2 expired
GBPJPY,2022,2022.01.01,2022.12.31,0.87,4,2.82,9946.34,9 expired
GBPJPY,2023,2023.01.01,2023.12.31,0.79,40,2.8,9810.57,8 expired
GBPJPY,2024,2024.01.01,2024.12.31,0.27,33,8.3,9196.62,4 expired
GBPJPY,2025,2025.01.01,2025.12.31,0.76,15,2.41,9846.93,7 expired
GBPJPY,OOS 2026,2026.01.01,2026.03.23,1.1,9,0.98,10012.91,1 expired
AUDJPY,2022,2022.01.01,2022.12.31,1.01,16,1.41,10005.7,9 expired
AUDJPY,2023,2023.01.01,2023.12.31,1.77,13,0.84,10221.37,1 cancelled | 8 expired
AUDJPY,2024,2024.01.01,2024.12.31,0.89,24,2.82,9944.06,6 expired
AUDJPY,2025,2025.01.01,2025.12.31,0.62,22,3.87,9724.43,12 expired
AUDJPY,OOS 2026,2026.01.01,2026.03.23,0.41,6,0.98,9904.29,2 expired
XAUUSD,2022,2022.01.01,2022.12.31,286.14,6,0.1,18574.05,5 cancelled
XAUUSD,2023,2023.01.01,2023.12.31,203.79,2,0.06,11241.06,2 cancelled
XAUUSD,2024,2024.01.01,2024.12.31,658.49,2,0.03,13103.34,14 cancelled
XAUUSD,2025,2025.01.01,2025.12.31,463.16,4,0.03,11488.16,15 cancelled
XAUUSD,OOS 2026,2026.01.01,2026.03.23,0.0,0,0.0,10000.0,clean
