config,window,pf,trades,dd,ok
fibo1rst=1.5 (baseline),2022,0.77,12,0.75,False
fibo1rst=1.5 (baseline),2023,1.29,12,1.38,True
fibo1rst=1.5 (baseline),2024,1.17,9,1.29,True
fibo1rst=1.5 (baseline),2025,4.85,9,0.52,True
fibo1rst=1.5 (baseline),Full,1.72,46,1.38,True
fibo1rst=2.0,2022,0.97,12,0.75,False
fibo1rst=2.0,2023,1.72,12,1.37,True
fibo1rst=2.0,2024,1.47,9,1.31,True
fibo1rst=2.0,2025,2.63,9,0.63,True
fibo1rst=2.0,Full,1.65,46,1.37,True
fibo1rst=3.0,2022,0.7,12,1.28,False
fibo1rst=3.0,2023,0.95,12,2.15,False
fibo1rst=3.0,2024,0.39,9,1.36,False
fibo1rst=3.0,2025,1.74,9,1.01,True
fibo1rst=3.0,Full,0.86,46,2.83,False
