label,pf,trades,dd_pct,balance,log
Baseline (current claude.set),357.65,14,0.1,31452.26,36 cancelled
Wider KZ (08-16 + 18-23),3.12,0,28.11,0,95 cancelled | 1 expired
No KZ,1.66,0,52.92,0,133 cancelled | 3 expired
No Skip09UTC,6.65,15,10.09,28277.6,36 cancelled
No D1Trend,357.65,14,0.1,31452.26,36 cancelled
No MacroTrend,2.62,0,26.38,0,36 cancelled | 1 expired
Wider KZ + No Skip09,2.47,0,28.04,0,95 cancelled | 1 expired
No KZ + No Skip09 + No D1,1.46,0,57.09,0,140 cancelled | 3 expired
No KZ + No D1 (keep Macro+Skip09),1.58,0,57.09,0,137 cancelled | 3 expired
Wider KZ + No D1,2.69,0,35.3,0,96 cancelled | 1 expired
